id,concept,similarity_score
150,Looney Tunes Cartoons,0.7365239
241,Mighty Mouse,0.73643553
869,The Twits,0.7364113
22,Kermit the Frog,0.7363804
424,Nala ,0.7363706
50,Leo the Lion ,0.73632944
557,Pinocchio,0.736235
1200,Performing arts,0.73613787
1050,Jasmine ,0.73607177
257,Stop motion,0.73599577
439,Bumblebee ,0.73598367
166,Tom and Jerry,0.73585254
208,Jinx ,0.73578423
1230,Toy Story ,0.73567307
664,Moses,0.7356418
177,Space Ghost,0.735573
1304,Maggie Simpson,0.7355235
94,Della Duck,0.73551446
736,Federal government of the United States,0.7354379
512,Lone Ranger,0.735186
510,Dick Tracy,0.7349421
949,Magical Negro,0.7345966
757,Khonsu,0.7344401
855,Madeline,0.7340334
552,Regan MacNeil,0.73401356
624,Film studio,0.7340113
763,Tartarus,0.734011
750,Atum,0.7339057
619,Screenwriter,0.73374826
507,Richie Tozier,0.73361194
718,Mrs. Claus,0.7335375
701,Oral tradition,0.73347867
1243,Matchbox ,0.7334472
254,Werewolf,0.73344564
356,Trollface,0.73320806
1215,Mannequin,0.73281467
921,Heathcliff ,0.7327512
220,United Artists,0.73270285
626,Film editing,0.73270065
602,Juliet,0.7326795
1327,Sioux,0.73248917
77,Garfield ,0.7324389
987,The Adventures of Pinocchio,0.7323414
988,Randy Feltface,0.73230326
453,Deadpool,0.73226815
482,Chewbacca,0.7321301
1231,Pixar,0.73203176
729,Rudolph the Red-Nosed Reindeer,0.73193544
578,Peter Parker ,0.7316448
579,Peter Parker ,0.7316448
580,Peter Parker ,0.7316448
573,Kristoff ,0.7314801
198,Gaston ,0.7313776
703,Shaggy dog story,0.73117006
362,World Wide Web,0.73115635
1306,Michael Demiurgos,0.73115045
286,Cyborg ,0.7311085
745,Talos,0.7310535
179,Aang,0.73103285
1087,Fifteenth Doctor,0.7308394
952,Noble savage,0.730564
1322,Punisher,0.7304044
1233,Decepticon,0.73039985
587,Tony Stark ,0.73011553
1266,20th Century Fox,0.7299492
203,He-Man,0.72993124
693,Emic and etic,0.7296246
382,Cosette,0.7294201
17,Skipper ,0.7294092
1335,Darna ,0.72937167
275,Darna,0.72937167
285,Black Lightning,0.729267
494,Sallah,0.729155
413,Moira MacTaggert,0.72886455
350,Wiccan ,0.7288095
598,Age of majority,0.72880113
732,Leprechaun,0.7286057
661,Hercules,0.7285675
725,The Little Match Girl,0.7285639
771,.380 ACP,0.72830856
383,Tia Dalma,0.7282241
317,Doraemon ,0.7282114
918,Joe Goldberg,0.7279381
765,Thanatos,0.72780824
677,Nisse ,0.7277266
1203,Ballet,0.7276907
1296,Mirabel Madrigal,0.7276866
644,Sleeping Beauty,0.7276788
727,Saint Nicholas,0.7275549
1129,Shimmer and Shine,0.7274973
1157,Alif Laila,0.7274954
1023,Space Oddity,0.72749466
807,Doomscrolling,0.72745764
478,Hulk,0.7268449
886,Captain Ahab,0.7267863
61,History of advertising,0.7267663
784,NPC ,0.7266752
1298,Lisa Simpson,0.7265657
1093,Ali G,0.72648525
256,Computer animation,0.7264248
175,Scrappy-Doo,0.7262255
638,The Frog Prince,0.72615135
1229,Mr. Men,0.7261182
1036,Wicked Witch of the West,0.7260251
101,Mammy Two Shoes,0.7260004
1075,Bender ,0.7259032
329,Iceman ,0.72589004
490,Olaf ,0.72565246
266,Robin ,0.72555286
449,Cyclops ,0.72555125
596,Puberty,0.72533786
183,Beavis,0.7251275
1047,The Armorer,0.7250532
1316,Morgan Jones ,0.7249214
235,Sonic Underground,0.72476155
132,The Great Gazoo,0.72462714
1042,LP record,0.724549
40,Barbie,0.7245451
724,Little Jack Horner,0.7243185
1273,Firefly ,0.7242629
51,Lucky Charms,0.7242476
802,Cybersex,0.72405356
202,Stewie Griffin,0.72404736
144,Marvin the Martian,0.72404397
914,Factitious disorder imposed on self,0.72393405
951,Miser,0.7238959
308,Spawn ,0.7236712
173,Hanna-Barbera,0.723651
55,The Noid,0.7235435
231,Jem ,0.7233335
1177,Butters Stotch,0.7233167
